	Package	Version
2433	exptest	1.2
2434	exreport	0.4.1
2435	EXRQ	1
2436	exsic	1.1.1
2437	exteriorMatch	1.0.0
2438	extfunnel	1.3
2439	extlasso	0.2
2440	ExtMallows	0.1.0
2441	extraBinomial	2.1
2442	extraDistr	1.9.1
2443	extrafont	0.18
2444	extrafontdb	1
2445	extraoperators	0.1.1
2446	extraTrees	1.0.5
2447	ExtremeBounds	0.1.6
2448	extremefit	1.0.2
2449	extRemes	2.1-2
2450	extremeStat	1.4.0
2451	extremogram	1.0.2
2452	extWeibQuant	1.1
2453	eyetracking	1.1
2454	ez	4.4-0
2455	ezec	1.0.1
2456	ezglm	1
2457	ezknitr	0.6
2458	ezsim	0.5.5
2459	fabCI	0.1
2460	fabia	2.40.0
2461	face	0.1-5
2462	facerec	0.1.0
2463	FacPad	3
2464	FactMixtAnalysis	1
2465	FACTMLE	1.1
2466	FactoClass	1.2.7
2467	factoextra	1.0.7
2468	FactoMineR	2.6
2469	factoptd	1.0.3
2470	factorcpt	0.1.2
2471	factorMerger	0.4.0
2472	factorplot	1.1-2
2473	factorQR	0.1-4
2474	FactorsR	1.4
2475	factory	0.1.0
2476	factualR	0.5
2477	FAdist	2.3
2478	Fahrmeir	2016.5.31
2479	fail	1.3
2480	faisalconjoint	1.15
2481	fakeR	1
2482	falcon	0.2
2483	falconx	0.2
2484	fam.recrisk	0.1
2485	fam2r	1.2
2486	fame	2.21
2487	FamEvent	2
2488	Familias	2.4
2489	FAMILY	0.1.19
2490	FAmle	1.3.5
2491	famSKATRC	1.1.0
2492	FAMT	2.5
2493	fanc	2.2
2494	fancycut	0.1.2
2495	fanplot	3.4.2
2496	fansi	1.0.3
2497	far	0.6-5
2498	faraway	1.0.7
2499	FARDEEP	1.0.1
2500	farff	1.1
2501	FarmSelect	1.0.2
2502	farver	2.1.1
2503	FASeg	0.1.9
2504	fAsianOptions	3042.82
2505	fasjem	1.1.2
2506	fAssets	3042.84
2507	fasta	0.1.0
2508	fastAdaboost	1.0.0
2509	FastBandChol	0.1.1
2510	fastclime	1.4.1
2511	fastcluster	1.2.3
2512	fastcmh	0.2.7
2513	fastcox	1.1.3
2514	fastdigest	0.6-3
2515	fastDummies	1.6.3
2516	fasterElasticNet	1.1.2
2517	FastGaSP	0.5.1
2518	fastGHQuad	1.0.1
2519	fastglm	0.0.1
2520	FastGP	1.2
2521	fastGraph	2.1
2522	fastHICA	1.0.2
2523	fastICA	1.2-3
2524	FastKM	1
2525	FastKNN	0.0.1
2526	FastLZeroSpikeInference	2018.12.10
2527	fastM	0.0-4
2528	fastmap	1.1.0
2529	fastmaRching	1.1.0
2530	fastmatch	1.1-3
2531	fastmatrix	0.3
2532	FastPCS	0.1.3
2533	fastpseudo	0.1
2534	fastqcr	0.1.2
2535	fastR2	1.2.1
2536	FastRCS	0.0.8
2537	FastSF	0.1.1
2538	fasttime	1.0-2
2539	FatTailsR	1.7-5
2540	fauxpas	0.5.0
2541	favnums	1.0.0
2542	fBasics	3042.89.1
2543	FBFsearch	1.1
2544	FBN	1.5.1
2545	fBonds	3042.78
2546	fbRads	0.2
2547	fbRanks	2
2548	fbroc	0.4.1
2549	fc	0.1.0
2550	fcd	0.1
2551	fCertificates	0.5-4
2552	FCGR	1.0-0
2553	fcm	0.1.3
2554	FCMapper	1.1
2555	fcr	1
2556	fcros	1.6.1
2557	fcuk	0.1.21
2558	FD	1.0-12
2559	fda	6.0.5
2560	fda.usc	2.0.2
2561	fdakma	1.2.1
2562	fdANOVA	0.1.2
2563	fdapace	0.5.5
2564	fdasrvf	1.9.4
2565	fdatest	2.1
2566	fdcov	1.1.0
2567	fdq	0.11
2568	fdrci	2.1
2569	FDRreg	0.1
2570	FDRsampsize	1
2571	FDRSeg	1.0-3
2572	fdrtool	1.2.17
2573	fds	1.8
2574	feature	1.2.14
2575	featurefinder	1.1
2576	features	2015.12-1
2577	featurizer	0.2
2578	fechner	1.0-3
2579	FedData	2.5.7
2580	federalregister	0.2.0
2581	fence	1
2582	FEprovideR	1.1
2583	fergm	1.1.4
2584	fermicatsR	1.4
2585	fExoticOptions	3042.8
2586	fExpressCertificates	1.3
2587	fExtremes	3042.82
2588	ff	4.0.4
2589	FFD	1.0-6
2590	FField	0.1.0
2591	ffmanova	1.1.0
2592	ffmetadata	1.0.0
2593	ffstream	0.1.6
2594	fftw	1.0-7
2595	fftwtools	0.9-9
2596	fgac	0.6-1
2597	FGalgorithm	1
2598	fGarch	3042.83.2
2599	fgeo	1.1.4
2600	fgeo.analyze	1.1.14
2601	fgeo.plot	1.1.9
2602	fgeo.tool	1.2.6
2603	fgeo.x	1.1.4
2604	Fgmutils	0.9.5
2605	fgof	0.2-1
2606	fgpt	2.3
2607	fgsea	1.20.0
2608	FGSG	1.0.2
2609	fgui	1.0-8
2610	fhidata	2019.8.27
2611	FI	1
2612	fiberLD	0.1-6
2613	fic	1.0.0
2614	fICA	1.1-1
2615	fields	14.1
2616	FieldSim	3.2.1
2617	filehash	2.4-2
2618	filehashSQLite	0.2-4
2619	filelock	1.0.2
2620	filematrix	1.3
2621	filenamer	0.2.3
2622	files	0.0.1
2623	fImport	3042.85
2624	FinAna	0.1.2
2625	FinancialInstrument	1.3.1
2626	FinancialMath	0.1.1
2627	FinAsym	1
2628	FinCal	0.6.3
2629	finch	0.4.0
2630	FinCovRegularization	1.1.0
2631	FindAllRoots	1
2632	findpython	1.0.5
2633	findR	0.2.1
2634	findviews	0.1.3
2635	FinePop	1.5.1
2636	fingerprint	3.5.7
2637	fingerPro	1.1
2638	finiteruinprob	0.6
2639	FinTS	0.4-6
2640	fipe	0.0.1
2641	FiRE	1
2642	firebehavioR	0.1.2
2643	fishdata	0.1.3
2644	fisheyeR	0.9
2645	FisHiCal	1.1
2646	fishkirkko2015	1.0.0
2647	fishMod	0.29
2648	fishmove	0.3-3
2649	FisPro	1
2650	FIT	0.0.6
2651	FitAR	1.94
2652	fitbitScraper	0.1.8
2653	fitdc	0.0.1
2654	fitdistrplus	1.1-8
2655	fitDRC	1.1.1
2656	fitplc	1.2-3
2657	fitPoly	3.0.0
2658	FITSio	2.1-0
2659	fitteR	0.1.0
2660	fitTetra	1
2661	fitur	0.6.1
2662	FixedPoint	0.6.1
2663	fixedTimeEvents	1
2664	fixerapi	0.1.6
2665	FixSeqMTP	0.1.2
2666	fizzbuzzR	0.1.1
2667	flagr	0.3.2
2668	flam	3.2
2669	flamingos	0.1.0
2670	flars	1
2671	flashClust	1.01-2
2672	flatr	0.1.1
2673	flexclust	1.4-0
2674	FlexDir	1
2675	flexmet	1.0.0.0
2676	flexmix	2.3-18
2677	flexmixNL	0.0.1
2678	FlexParamCurve	1.5-5
2679	flexsurv	1.1.1
2680	flextable	0.6.1
2681	FlickrAPI	0.1.0.0
2682	flifo	0.1.5
2683	flip	2.5.0
2684	FLLat	1.2-1
2685	float	0.3-0
2686	flock	0.7
2687	flood	0.1.1
2688	flower	1
2689	flowfield	1
2690	flowr	0.9.10
2691	FlowRegEnvCost	0.1.1
2692	FlowScreen	1.2.6
2693	FLR	1
2694	flsa	1.5.2
2695	fluoSurv	1.0.0
2696	Flury	0.1-3
2697	fluspect	1.0.0
2698	flux	0.3-0
2699	fluxweb	0.2.0
2700	fma	2.4
2701	FMAdist	0.1.0
2702	fmbasics	0.3.0
2703	FMC	1.0.0
2704	fmcsR	1.36.0
2705	fmdates	0.1.4
2706	FME	1.3.6.2
2707	FMP	1.4
2708	fmriqa	0.3.0
2709	fmsb	0.7.0
2710	FMsmsnReg	1
2711	FMStable	0.1-2
2712	fMultivar	3042.80.1
2713	FNN	1.1.3.1
2714	fNonlinear	3042.79
2715	focusedMDS	1.3.3
2716	fontawesome	0.4.0
2717	fontBitstreamVera	0.1.1
2718	fontcm	1.1
2719	fontHind	0.1.1
2720	fontLiberation	0.1.0
2721	fontMPlus	0.1.1
2722	fontquiver	0.2.1
2723	foodweb	1-0
2724	foolbox	0.1.1
2725	fOptions	3042.86
2726	forams	2.0-5
2727	forcats	0.5.2
2728	foreach	1.5.2
2729	forecast	8.13
2730	ForecastComb	1.3.1
2731	ForecastCombinations	1.1
2732	forecastHybrid	5.0.19
2733	forecTheta	2.2
2734	foreign	0.8.83
2735	forensic	0.2
2736	forestHES	1.0-1
2737	forestinventory	0.3.1
2738	forestplot	3.1.0
2739	forestRK	0.0-5
2740	forestSAS	1.0.1
2741	foretell	0.2.0
2742	forge	0.2.0
2743	ForImp	1.0.3
2744	ForIT	1
2745	FormalSeries	1
2746	formatR	1.12
2747	formattable	0.2.0.1
2748	Formula	1.2-4
2749	formula.tools	1.7.1
2750	fortunes	1.5-4
2751	forwards	0.1.3
2752	ForwardSearch	1
2753	fossil	0.4.0
2754	FossilSim	2.1.1
2755	foto	1.0.0
2756	FourgameteP	0.1.0
2757	fourierin	0.2.4
2758	FourScores	1.5.1
2759	fpa	1
2760	fpc	2.2-9
2761	fpca	0.2-1
2762	FPCA2D	1
2763	FPCA3D	1
2764	fpCompare	0.2.3
2765	fpeek	0.1.1
2766	fpest	0.1.1
2767	fpmoutliers	0.1.0
2768	fpop	2019.08.26
2769	fpow	0.0-2
2770	fpp	0.5
2771	fpp2	2.4
2772	FPV	0.5
2773	fracdiff	1.5-1
2774	fracprolif	1.0.7
2775	fractaldim	0.8-4
2776	FractalParameterEstimation	1.1.2
2777	FRACTION	1
2778	fractional	0.1.3
2779	Fragman	1.0.9
2780	frair	0.5.100
2781	frambgrowth	0.1.0
2782	Frames2	0.2.1
2783	franc	1.1.2
2784	FRAPO	0.4-1
2785	frapplot	0.1.3
2786	FRCC	1
2787	freegroup	1.1-0
2788	FreeSortR	1.3
2789	freetypeharfbuzz	0.2.5
2790	fRegression	3042.82
2791	FREQ	1
2792	freqdist	0.1
2793	freqparcoord	1.0.1
2794	FreqProf	0.0.1
2795	frequentdirections	0.1.0
2796	fresh	0.2.0
2797	FrF2	2.2-2
2798	FrF2.catlg128	1.2-1
2799	FRK	0.2.2.1
2800	fRLR	1.1
2801	frm	1.2.2
2802	frmhet	1.1.3
2803	frmpd	1.1.0
2804	frmqa	0.1-5
2805	fromo	0.2.1
2806	frontiles	1.2
2807	frost	0.0.4
2808	frt	0.1
2809	fs	1.5.2
2810	FSAdata	0.3.8
2811	fscaret	0.9.4.4
2812	FSelector	0.31
2813	fsia	1.1.1
2814	FSInteract	0.1.2
2815	fslr	2.24.1
2816	FSMUMI	1
2817	fso	2.1-1
2818	Fstability	0.1.2
2819	fstcore	0.9.12
2820	fsthet	1.0.1
2821	FSTpackage	0.1
2822	ftDK	1
2823	FTICRMS	0.8
2824	ftnonpar	0.1-88
2825	fTrading	3042.79
2826	fts	0.9.9.2
2827	ftsa	6
2828	ftsspec	1.0.0
2829	fugeR	0.1.2
2830	fugue	0.1.7
2831	FunCluster	1.09
2832	FuncMap	1.0.10
2833	functional	0.6
2834	functools	0.2.0
2835	funFEM	1.1
2836	funHDDC	2.3.0
2837	funique	0.0.1
2838	fUnitRoots	3042.79
2839	funModeling	1.9.4
2840	funnelR	0.1.0
2841	funr	0.3.2
2842	funreg	1.2
2843	FUNTA	0.1.0
2844	furniture	1.9.7
2845	furrr	0.3.1
2846	fuser	1.0.1
2847	fusionclust	1.0.0
2848	FusionLearn	0.1.1
2849	futile.logger	1.4.3
2850	futile.options	1.0.1
2851	futile.paradigm	2.0.4
2852	futility	0.4
2853	future	1.29.0
2854	future.apply	1.10.0
2855	futureheatwaves	1.0.3
2856	fuzzr	0.2.2
2857	Fuzzy.p.value	1.1
2858	fuzzyFDR	1
2859	fuzzyjoin	0.1.6
2860	FuzzyLP	0.1-5
2861	FuzzyMCDM	1.1
2862	FuzzyNumbers	0.4-6
2863	FuzzyNumbers.Ext.2	3.2
2864	FuzzyR	2.3
2865	fuzzyRankTests	0.4
2866	fuzzyreg	0.5.1
2867	FuzzyStatProb	2.0.4
2868	FuzzyStatTra	1
2869	FuzzyToolkitUoN	1
2870	fuzzywuzzyR	1.0.3
2871	FWDselect	2.1.0
2872	fwi.fbp	1.7
2873	fwsim	0.3.4
2874	g.data	2.4
2875	G1DBN	3.1.1
2876	G2Sd	2.1.5
2877	GA	3.2.3
2878	GAabbreviate	1.3
2879	GABi	0.1
2880	GAD	1.1.1
2881	GADAG	0.99.0
2882	GaDiFPT	1
2883	gafit	0.5.1
2884	gage	2.44.0
2885	gainML	0.1.0
2886	gains	1.2
2887	GAIPE	1
2888	galts	1.3.1
2889	gam	1.22
2890	gama	1.0.3
2891	gamair	1.0-2
2892	gamboostLSS	2.0-6
2893	gamboostMSM	1.1.87
2894	GAMens	1.2.1
2895	games	1.1.2
2896	GameTheory	2.7
2897	GameTheoryAllocation	1
2898	gamlr	1.13-6
2899	gamlss	5.2-0
2900	gamlss.add	5.1-6
2901	gamlss.cens	5.0-1
2902	gamlss.countKinf	3.5.1
2903	gamlss.data	5.1-4
2904	gamlss.dist	6.0-5
2905	gamlss.inf	1.0-1
2906	gamlss.nl	4.1-0
2907	gamlss.spatial	2.0.0
2908	gamlss.tr	5.1-7
2909	gamlssbssn	0.1.0
2910	gamm4	0.2-6
2911	gamm4.test	0.1.0
2912	gammSlice	2.0-2
2913	gamreg	0.3
2914	gamsel	1.8-1
2915	ganalytics	0.10.7
2916	GANPA	1
2917	GANPAdata	1
2918	gap	1.3-1
2919	gap.datasets	0.0.5
2920	gapfill	0.9.6
2921	gapminder	0.3.0
2922	gargle	1.2.1
2923	garray	1.1.2
2924	gatepoints	0.1.3
2925	GauPro	0.2.2
2926	gaussDiff	1.1
2927	gaussfacts	0.0.2
2928	GaussianHMM1d	1.0.1
2929	gaussquad	1.0-2
2930	gb	2.3.3
2931	GB2	2.1
2932	GB2group	0.2.0
2933	GBJ	0.5.3
2934	gbm	2.1.8.1
2935	gbm2sas	2.1
2936	gbp	0.1.0.4
2937	gbRd	0.4-11
2938	gbs2ploidy	1
2939	gbutils	0.4-0
2940	GCAI.bias	1
2941	GCalcium	1.0.0
2942	gCat	0.1
2943	gcbd	0.2.6
2944	gcdnet	1.0.5
2945	gcerisk	19.05.24
2946	gcite	0.10.1
2947	gclus	1.3.2
2948	gconcord	0.41
2949	gcookbook	2
2950	GCPM	1.2.2
2951	gcrma	2.66.0
2952	GD	1.9
2953	GDAdata	0.93
2954	gdalUtils	2.0.3.2
2955	gdata	2.18.0.1
2956	GDELTtools	1.2
2957	gdimap	0.1-9
2958	GDINA	2.8.0
2959	gdistance	1.6
2960	gdmp	0.2.0
2961	gds	0.1.0
2962	gdtools	0.2.2
2963	GeDS	0.1.3
2964	gee	4.13-20
2965	gee4	0.1.0.0
2966	GEEaSPU	1.0.2
2967	geeM	0.10.1
2968	GEEmediate	1.1.3
2969	geepack	1.3-1
2970	geesmv	1.3
2971	geigen	2.3
2972	geiger	2.0.10
2973	gelnet	1.2.1
2974	gems	1.1.1
2975	gen2stage	1
2976	genalg	0.2.0
2977	genasis	1
2978	GenBinomApps	1.1
2979	gencve	0.3
2980	gendata	1.1
2981	gender	0.5.4
2982	genderBR	1.1.0
2983	gendist	2
2984	GENEAread	2.0.9
2985	GeneBook	1
2986	GeneClusterNet	1.0.1
2987	GeneCycle	1.1.4
2988	GeneF	1
2989	genefilter	1.76.0
2990	geneHummus	1.0.11
2991	geneListPie	1
2992	genemodel	1.1.0
2993	geneNetBP	2.0.1
2994	genepi	1.0.1
2995	geneplotter	1.72.0
2996	generalhoslem	1.3.4
2997	GeneralisedCovarianceMeasure	0.1.0
2998	GeneralizedHyperbolic	0.8-4
2999	GeneralOaxaca	1
3000	generator	0.1.0
3001	generics	0.1.3
3002	geneSignatureFinder	2014.02.17
3003	genetics	1.3.8.1.3
3004	GeneticSubsetter	0.8
3005	GenForImp	1
3006	GenKern	1.2-60
3007	genlogis	1.0.0
3008	GENMETA	0.1
3009	geno2proteo	0.0.3
3010	genodds	1.0.0
3011	GenomeInfoDb	1.30.1
3012	GenomeInfoDbData	1.2.7
3013	genomeplot	1
3014	genomic.autocorr	1.0-1
3015	GenomicAlignments	1.30.0
3016	GenomicFeatures	1.46.5
3017	GenomicMating	2
3018	genomicper	1.6
3019	GenomicRanges	1.46.1
3020	GenomicTools.fileHandler	0.1.5.9
3021	genoPlotR	0.8.10
3022	GenOrd	1.4.0
3023	GenoScan	0.1
3024	genotypeR	0.0.1.8
3025	GenSA	1.1.7
3026	gensphere	1.1
3027	genSurv	1.0.3
3028	GenTag	1
3029	GenWin	0.1
3030	geoaxe	0.1.0
3031	GeoBoxplot	1
3032	GeoDE	1
3033	geoelectrics	0.2.0
3034	geoGAM	0.1-2
3035	geogrid	0.1.1
3036	geojson	0.3.4
3037	geojsonio	0.9.2
3038	geojsonlint	0.4.0
3039	geojsonR	1.0.8
3040	geojsonsf	2.0.3
3041	geoknife	1.6.4
3042	GeoLight	2.0.0
3043	GEOmap	2.4-4
3044	geomapdata	1.0-4
3045	GeomComb	1
3046	GEOmetadb	1.56.0
3047	geometries	0.2.0
3048	geometry	0.4.5
3049	GeoMongo	1.0.1
3050	geonames	0.999
3051	geonetwork	0.3
3052	geophys	1.4-1
3053	GEOquery	2.62.2
3054	geoR	1.8-1
3055	GeoRange	0.1.0
3056	geoscale	2
3057	geosphere	1.5-10
3058	geospt	1.0-2
3059	geosptdb	0.5-0
3060	geotech	1
3061	geotools	0.1
3062	geozoning	1.0.0
3063	geozoo	0.5.1
3064	gepaf	0.1.1
3065	gert	1.9.1
3066	gesca	1.0.4
3067	GESE	2.0.1
3068	gestalt	0.1.8
3069	GESTr	0.1
3070	GetBCBData	0.5
3071	gethr	0.1.0
3072	getlandsat	0.2.0
3073	getMet	0.3.2
3074	getopt	1.20.3
3075	GetoptLong	1.0.4
3076	getPass	0.2-2
3077	getProxy	1.12
3078	GetR	0.1
3079	GExMap	1.1.3
3080	GFA	1.0.3
3081	GFE	0.1.0
3082	gfer	0.1.10
3083	gfmR	1.1-0
3084	ggallin	0.1.1
3085	GGally	2.1.2
3086	ggalt	0.4.0
3087	ggbeeswarm	0.6.0
3088	ggbuildr	0.1.0
3089	ggChernoff	0.2.0
3090	ggconf	0.1.3
3091	ggcorrplot	0.1.4
3092	ggdark	0.2.1
3093	ggdendro	0.1.23
3094	ggdmc	0.2.6.0
3095	gge	1.5
3096	GGEBiplotGUI	1.0-9
3097	GGEBiplots	0.1.1
3098	ggExtra	0.10.0
3099	ggfan	0.1.3
3100	ggfittext	0.9.0
3101	ggforce	0.3.2
3102	ggformula	0.9.4
3103	ggfortify	0.4.14
3104	ggfun	0.0.8
3105	gggenes	0.4.1
3106	ggghost	0.2.1
3107	ggguitar	0.1.1
3108	gghalfnorm	1.1.2
3109	ggjoy	0.4.1
3110	gglasso	1.5
3111	ggloop	0.1.0
3112	ggm	2.5
3113	ggmap	3.0.0
3114	ggmosaic	0.2.0
3115	GGMridge	1.1
3116	GGMselect	0.1-12.4
3117	ggnetwork	0.5.10
3118	ggnormalviolin	0.1.2
3119	ggpage	0.2.3
3120	ggparallel	0.2.0
3121	ggparliament	2.0.0
3122	ggparty	1.0.0
3123	ggplot2	3.4.0
3124	ggplot2movies	0.0.1
3125	ggplotAssist	0.1.3
3126	ggplotgui	1.0.0
3127	ggplotify	0.1.0
3128	ggpmisc	0.3.7
3129	ggpointdensity	0.1.0
3130	ggpolypath	0.1.0
3131	ggpp	0.4.5
3132	ggpubr	0.4.0
3133	ggQC	0.0.31
3134	ggQQunif	0.1.5
3135	ggquiver	0.2.0
3136	ggRandomForests	2.0.1
3137	ggraph	2.1.0
3138	ggrasp	1
3139	ggrepel	0.9.2
3140	ggResidpanel	0.3.0
3141	ggridges	0.5.4
3142	ggROC	1
3143	ggsci	2.9
3144	ggseqlogo	0.1
3145	ggsignif	0.6.0
3146	ggsn	0.5.0
3147	ggsolvencyii	0.1.2
3148	ggstance	0.3.4
3149	ggswissmaps	0.1.1
3150	ggtern	3.3.5
3151	ggtext	0.1.0
3152	ggThemeAssist	0.1.5
3153	ggthemes	4.2.4
3154	ggTimeSeries	1.0.1
3155	ggtree	3.2.1
3156	ggversa	0.0.1
3157	ggvis	0.4.7
3158	ggvoronoi	0.8.3
3159	ggwordcloud	0.5.0
3160	gh	1.3.1
3161	Ghat	0.1.0
3162	GHS	0.1
3163	ghyp	1.6.1
3164	gibbs.met	1.1-3
3165	GibbsACOV	1.1
3166	Gifi	0.3-9
3167	gifti	0.8.0
3168	GIGrvg	0.7
3169	GillespieSSA	0.6.1
3170	gimmeTools	0.1
3171	GiniDistance	0.1.0
3172	GiniWegNeg	1.0.1
3173	gIPFrm	3.1
3174	giphyr	0.2.0
3175	GISTools	0.7-4
3176	gistr	0.9.0
3177	git2r	0.30.1
3178	gitcreds	0.1.2
3179	githubinstall	0.2.2
3180	gitlabr	1.1.6
3181	gitlink	0.1.3
3182	givitiR	1.3
3183	GJRM	0.2-3
3184	gk	0.5.1
3185	GK2011	0.1.3
3186	glacierSMBM	0.1
3187	glamlasso	3
3188	glarma	1.6-0
3189	glassdoor	0.8.1
3190	glasso	1.11
3191	glassoFast	1
3192	glba	0.2
3193	gld	2.6.6
3194	GLDEX	2.0.0.9.2
3195	GLDreg	1.0.7
3196	gldrm	1.5
3197	GLIDE	1.0.2
3198	gllm	0.37
3199	glm.deploy	1.0.4
3200	glm2	1.2.1
3201	glmaag	0.0.6
3202	GLMaSPU	1
3203	glmc	0.3-1
3204	glmdm	2.51
3205	glmgraph	1.0.3
3206	glmlep	0.2
3207	glmmLasso	1.5.1
3208	glmmML	1.1.1
3209	GLMMRR	0.2.0
3210	glmmsr	0.2.3
3211	glmnet	4.1-4
3212	GLMpack	0.1.0
3213	glmpath	0.98
3214	GLMsData	1.0.0
3215	glmtlp	1.1
3216	glmulti	1.0.8
3217	glmvsd	1.4
3218	glmx	0.1-1
3219	GlobalAncova	4.12.0
3220	globalboosttest	1.1-0
3221	GlobalDeviance	0.4
3222	globalGSA	1
3223	GlobalOptions	0.1.2
3224	globalOptTests	1.1
3225	globals	0.16.1
3226	globaltest	5.48.0
3227	globe	1.2-0
3228	glogis	1.0-1
3229	glpkAPI	1.3.2
3230	glrt	2
3231	gLRTH	0.2.0
3232	glue	1.6.2
3233	gma	1
3234	GMAC	3
3235	gmailr	1.0.0
3236	gmapsdistance	3.4
3237	gmDatabase	0.5.0
3238	GMDH	1.6
3239	GMDH2	1.5
3240	Gmedian	1.2.5
3241	gmfd	1.0.1
3242	gmm	1.7
3243	gmodels	2.18.1
3244	gmp	0.6-8
3245	GMSimpute	0.0.1.0
3246	gnFit	0.2.0
3247	gnlm	1.1.1
3248	gnm	1.1-2
3249	gnorm	1.0.0
3250	gnumeric	0.7-8
3251	GO.db	3.14.0
3252	goeveg	0.4.2
3253	gofastr	0.3.0
3254	GoFKernel	2.1-1
3255	GOFShiny	0.1.0
3256	goftest	1.2-3
3257	GOGANPA	1
3258	gogarch	0.7-2
3259	goldi	1.0.1
3260	gomms	1
3261	goodpractice	1.0.2
3262	googleAnalyticsR	0.8.0
3263	googleAuthR	1.3.1
3264	googleCloudStorageR	0.5.1
3265	googleComputeEngineR	0.3.0
3266	googledrive	2.0.0
3267	googleformr	0.0.3
3268	GoogleKnowledgeGraphR	0.1.0
3269	googlenlp	0.2.0
3270	googlePrintr	0.0.1
3271	googlePublicData	0.16.1
3272	googlesheets	0.3.0
3273	googlesheets4	1.0.1
3274	googleVis	0.6.9
3275	GOplot	1.0.2
3276	GORCure	2
3277	GOSemSim	2.20.0
3278	GOstats	2.60.0
3279	govStatJPN	0.1
3280	gower	1.0.0
3281	GPareto	1.1.4.1
3282	GPArotation	2014.11-1
3283	GPCMlasso	0.1-4
3284	gPdtest	0.4
3285	GPFDA	2.2
3286	GPfit	1.0-8
3287	GPGame	1.1.0
3288	gpk	1
3289	gplm	0.7-4
3290	gplots	3.1.3
3291	GPLTR	1.2
3292	GPM	3.0.1
3293	gpmap	0.1.1
3294	GPoM	1.3
3295	GPoM.FDLyapu	1
3296	gppm	0.2.0
3297	GPrank	0.1.4
3298	GPRMortality	0.1.0
3299	GPSCDF	0.1.1
3300	gptk	1.08
3301	GPvam	3.0-5
3302	gquad	2.1-1
3303	Grace	0.5.3
3304	gradDescent	3
3305	grade	0.2-1
3306	gradientPickerD3	0.1.0.0
3307	gRain	1.3-6
3308	grangers	0.1.0
3309	granova	2.1
3310	granovaGG	1.4.0
3311	GRAPE	0.1.1
3312	grapes	1.0.0
3313	gRapfa	1
3314	graph	1.72.0
3315	GrapheR	1.9-86
3316	grapherator	1.0.0
3317	graphframes	0.1.2
3318	graphics	4.1.3
3319	graphite	1.40.0
3320	graphkernels	1.6
3321	graphlayouts	0.8.3
3322	GraphPCA	1.1
3323	graphql	1.5
3324	graphscan	1.1.1
3325	GrassmannOptim	2
3326	graticule	0.1.2
3327	gRbase	1.8-6.7
3328	gRc	0.4-3.2
3329	GRCdata	1
3330	grDevices	4.1.3
3331	GreedyEPL	1
3332	GreedyExperimentalDesignJARs	1
3333	GreedySBTM	1
3334	gren	0.0.1
3335	greta	0.3.1
3336	gretel	0.0.1
3337	grex	1.9
3338	greybox	1.0.6
3339	GreyListChIP	1.26.0
3340	greyzoneSurv	1
3341	grid	4.1.3
3342	gridBase	0.4-7
3343	gridBezier	1.1-1
3344	gridExtra	2.3
3345	gridGeometry	0.2-0
3346	gridGraphics	0.5-1
3347	gridGraphviz	0.3
3348	gridsampler	0.6
3349	gridSVG	1.7-4
3350	gridtext	0.1.4
3351	GriegSmith	1
3352	grImport	0.9-3
3353	GrimR	0.5
3354	gripp	0.2.20
3355	grnn	0.1.0
3356	GROAN	1.2.0
3357	gromovlab	0.7-6
3358	GroupComparisons	0.1.0
3359	groupdata2	1.5.0
3360	grouped	0.6-0
3361	groupICA	0.1.1
3362	groupRemMap	0.1-0
3363	groupsubsetselection	1.0.3
3364	GroupTest	1.0.1
3365	grove	1.1
3366	growfunctions	0.14
3367	growth	1.1.1
3368	growthmodels	1.2.0
3369	growthrate	1.3
3370	grplasso	0.4-7
3371	grplassocat	1
3372	grpreg	3.3.0
3373	GrpString	0.3.2
3374	grr	0.9.5
3375	GRS.test	1.1
3376	grt	0.2.1
3377	GRTo	1.3
3378	GSA	1.03.1
3379	GSAfisherCombined	1
3380	GSAgm	1
3381	gsalib	2.1
3382	GSAQ	1
3383	gscounts	0.1-3
3384	gsDesign	3.1.1
3385	GSE	4.2
3386	GSEABase	1.56.0
3387	gsEasy	1.3
3388	GSED	2.5
3389	gSEM	0.4.3.4
3390	gset	1.1.0
3391	gsheet	0.4.5
3392	gsl	2.1-6
3393	gsloid	0.1.0
3394	GSM	1.3.2
3395	gsmoothr	0.1.7
3396	GSMX	1.3
3397	GSparO	1
3398	gsrsb	1.1.1
3399	gss	2.2-2
3400	GSSE	0.1
3401	gstar	0.1.0
3402	gstat	2.0-6
3403	gStream	0.2.0
3404	gsubfn	0.7
3405	GSVA	1.42.0
3406	gsw	1.0-5
3407	GsymPoint	1.1.1
3408	gsynth	1.0.9
3409	gt4ireval	2
3410	gtable	0.3.1
3411	gtcorr	0.2-1
3412	gte	1.2-2
3413	gTests	0.2
3414	gtheory	0.1.2
3415	gtools	3.9.3
3416	gtop	0.2.0
3417	gtrendsR	1.4.7
3418	gtWAS	1.1.0
3419	guardianapi	0.1.1
3420	GuardianR	0.9
3421	guess	0.1
3422	GuessCompx	1.0.3
3423	GUILDS	1.3
3424	GUIProfiler	2.0.1
3425	gumbel	1.10-2
3426	GUniFrac	1.1
3427	gunit	1.0.0
3428	GUTS	1.1.1
3429	gvcm.cat	1.9
3430	gvcR	0.1.0
3431	gvlma	1.0.0.3
3432	GWASExactHW	1.01
3433	GWASinlps	1.2
3434	gwdegree	0.1.1
3435	gwerAM	1
3436	gwfa	0.0.4
